Player,Club,Position,Age,Market_Value,Appearances,Minutes,Goals,Assists,Yellow_Cards,Red_Cards
Erling Haaland,Manchester City,Centre-Forward,25,180000000,31,2550,27,5,2,0
Bukayo Saka,Arsenal,Right Winger,24,140000000,33,2820,16,10,4,0
Mohamed Salah,Liverpool,Right Winger,33,55000000,35,3000,22,12,1,0
Martin Odegaard,Arsenal,Attacking Midfield,27,95000000,32,2700,9,11,3,0
Bruno Fernandes,Manchester United,Attacking Midfield,31,60000000,36,3150,10,13,8,0
Rodri,Manchester City,Defensive Midfield,29,110000000,30,2600,8,7,6,0
Declan Rice,Arsenal,Defensive Midfield,27,120000000,35,3100,7,8,5,0
Virgil van Dijk,Liverpool,Centre-Back,34,30000000,34,3060,3,1,3,1
William Saliba,Arsenal,Centre-Back,25,80000000,36,3240,2,1,4,0
Trent Alexander-Arnold,Liverpool,Right-Back,27,70000000,30,2500,4,9,4,0
Andrew Robertson,Liverpool,Left-Back,32,25000000,29,2400,2,7,5,0
Phil Foden,Manchester City,Attacking Midfield,26,130000000,34,2850,14,8,2,0
Cole Palmer,Chelsea,Attacking Midfield,24,90000000,35,3050,20,11,7,0
Ollie Watkins,Aston Villa,Centre-Forward,30,65000000,37,3200,19,9,4,0
Alexander Isak,Newcastle,Centre-Forward,26,85000000,32,2700,21,4,2,0
Kevin De Bruyne,Manchester City,Central Midfield,35,35000000,25,1800,6,15,2,0
James Maddison,Tottenham,Attacking Midfield,29,45000000,28,2200,6,10,5,0
Son Heung-min,Tottenham,Left Winger,34,45000000,34,2900,17,9,1,0
Dominik Szoboszlai,Liverpool,Central Midfield,25,75000000,33,2750,6,7,3,0
Moises Caicedo,Chelsea,Defensive Midfield,24,90000000,35,3000,1,4,9,0
